iter	Logloss
0	0.666222716
1	0.6435183369
2	0.6242666568
3	0.6077502168
4	0.5929441235
5	0.5805910519
6	0.5695500042
7	0.5602012216
8	0.5520121247
9	0.5447662913
10	0.5384588318
11	0.532724633
12	0.5278230262
13	0.5241611345
14	0.5204151117
15	0.5171819718
16	0.5142616613
17	0.5116072456
18	0.5093922737
19	0.5073315742
20	0.505668544
21	0.5040815447
22	0.5026502008
23	0.5016619877
24	0.5006601808
25	0.4995936037
26	0.4987667473
27	0.49776595
28	0.4969899256
29	0.4962434763
30	0.4953382984
31	0.4944490158
32	0.4937955708
33	0.4931413054
34	0.4927286607
35	0.4921487948
36	0.4916911315
37	0.4912984963
38	0.490672996
39	0.490346203
40	0.4897710625
41	0.4892296598
42	0.4887964115
43	0.4881529687
44	0.4877785515
45	0.4872669004
46	0.4868507707
47	0.4864951914
48	0.4859925509
49	0.4855423137
50	0.4852463089
51	0.4848188593
52	0.4843124013
53	0.4838271235
54	0.4835051674
55	0.4831562401
56	0.4828495387
57	0.4824627181
58	0.4820401258
59	0.4817974962
60	0.4814600904
61	0.4811751677
62	0.4808571722
63	0.4805212701
64	0.4799959579
65	0.479735704
66	0.4795066224
67	0.4793085989
68	0.4790066736
69	0.4786903033
70	0.4783884298
71	0.4780152777
72	0.4777678797
73	0.477479449
74	0.4772168373
75	0.4767826478
76	0.4764646648
77	0.47604284
78	0.4757611138
79	0.4753989954
80	0.4749861237
81	0.4747107833
82	0.47441291
83	0.4741587766
84	0.4738805846
85	0.4735616868
86	0.4732229762
87	0.4730488534
88	0.4728932701
89	0.4727017759
90	0.4724680436
91	0.4722522205
92	0.4720834018
93	0.4718052214
94	0.471318258
95	0.4709514872
96	0.4705103649
97	0.4701235334
98	0.469749158
99	0.4695258624
100	0.4692261955
101	0.4689030162
102	0.4686477535
103	0.46847107
104	0.4682585578
105	0.4677256272
106	0.4673493637
107	0.4671548569
108	0.4670259279
109	0.4666578003
110	0.4664839871
111	0.4662187164
112	0.4657758972
113	0.4656266548
114	0.4652464111
115	0.4650360413
116	0.4648143119
117	0.4645886448
118	0.464405152
119	0.4640458331
120	0.4638020706
121	0.4636281092
122	0.4632104054
123	0.4629039518
124	0.4626589916
125	0.4624444538
126	0.4621383929
127	0.4619141302
128	0.4617874478
129	0.461541986
130	0.4612981719
131	0.4610771376
132	0.4607828397
133	0.4604325266
134	0.460175677
135	0.4597994933
136	0.4595968913
137	0.4592710278
138	0.4589582596
139	0.4587506106
140	0.4585191574
141	0.458317297
142	0.4580029047
143	0.4577694765
144	0.4573716
145	0.4571568485
146	0.4568175254
147	0.4566075437
148	0.4564321571
149	0.4561746759
150	0.4558428815
151	0.4555592713
152	0.4552758065
153	0.4549279718
154	0.4546894514
155	0.4544847205
156	0.4543048472
157	0.4541903507
158	0.4539549034
159	0.4537521891
160	0.4534816094
161	0.4532818783
162	0.4531165294
163	0.453011642
164	0.452884544
165	0.4526214422
166	0.4523829603
167	0.4519513964
168	0.4517125075
169	0.4515113331
170	0.4512774615
171	0.4509535418
172	0.4506954421
173	0.450498978
174	0.4501918589
175	0.4499909659
176	0.4498429752
177	0.4496593234
178	0.4494627186
179	0.4492959259
180	0.4491212265
181	0.4488857117
182	0.4486964906
183	0.4483970074
184	0.4481991295
185	0.4479129689
186	0.4477425044
187	0.447581337
188	0.4473770417
189	0.4472574831
190	0.4470349771
191	0.4466941817
192	0.4464182129
193	0.4461330721
194	0.4459568542
195	0.445819345
196	0.4456082246
197	0.4454200817
198	0.4451867403
199	0.4449312392
200	0.4446522993
201	0.444479117
202	0.4442213851
203	0.4439735285
204	0.443780561
205	0.4435294555
206	0.4433304847
207	0.4430457799
208	0.4428267359
209	0.4424960359
210	0.4423695956
211	0.4422072902
212	0.4420698995
213	0.4419233432
214	0.4416340129
215	0.4414000664
216	0.4411842517
217	0.4409082408
218	0.4406666026
219	0.4405023818
220	0.4402691747
221	0.4399784482
222	0.4396886258
223	0.4394317314
224	0.4390605984
225	0.4389018603
226	0.4386579046
227	0.4384774342
228	0.4383152677
229	0.438169862
230	0.4378495289
231	0.4376349397
232	0.4374120987
233	0.4371636573
234	0.4369992964
235	0.4367963066
236	0.4366495838
237	0.4364933848
238	0.4363783287
239	0.4361361379
240	0.4359525002
241	0.4357590618
242	0.4355714085
243	0.4354268036
244	0.4352098981
245	0.4350338848
246	0.4348060857
247	0.4344222464
248	0.4342618042
249	0.4340335226
250	0.4338804021
251	0.433717653
252	0.433504339
253	0.4333018179
254	0.4330444778
255	0.4328809799
256	0.4327088422
257	0.4325539329
258	0.4324145113
259	0.4321944254
260	0.4320756918
261	0.4319735296
262	0.4318336876
263	0.4317124096
264	0.4315888942
265	0.4313797368
266	0.4311270055
267	0.4309218954
268	0.4307103315
269	0.4304267834
270	0.4301267502
271	0.4299158438
272	0.4298144148
273	0.4295092104
274	0.429322022
275	0.4291389463
276	0.4289176384
277	0.4287793848
278	0.4285800594
279	0.4283522463
280	0.4281259965
281	0.4278506017
282	0.4276861686
283	0.4274723898
284	0.4272849896
285	0.4270016002
286	0.4268823819
287	0.4266569656
288	0.4264174343
289	0.4262654265
290	0.4260349679
291	0.4259183703
292	0.4256986009
293	0.4254416789
294	0.4253330253
295	0.4251314719
296	0.4250004886
297	0.4247655757
298	0.4246436201
299	0.4244446844
300	0.4243322652
301	0.4241677425
302	0.4239722274
303	0.4238533774
304	0.4237082555
305	0.4235296805
306	0.4234350302
307	0.4232422568
308	0.4230417048
309	0.4228422391
310	0.4226481849
311	0.4225284832
312	0.4223637884
313	0.422133985
314	0.4219518396
315	0.4218130262
316	0.4217055844
317	0.4214938532
318	0.4213634626
319	0.4211941161
320	0.4210566191
321	0.4209026269
322	0.4207875152
323	0.420715082
324	0.4205148817
325	0.4203358167
326	0.4201706504
327	0.4200317973
328	0.4198078613
329	0.4196112593
330	0.4194891983
331	0.4193818144
332	0.4192823289
333	0.4191543854
334	0.4190532818
335	0.4188582834
336	0.4186908291
337	0.4185715262
338	0.4183469248
339	0.4181786541
340	0.4179874543
341	0.417772191
342	0.4176201538
343	0.4174847536
344	0.4173367334
345	0.4171487815
346	0.4170004085
347	0.4168492927
348	0.4167473688
349	0.4165482345
350	0.4163802114
351	0.4162916963
352	0.4161272869
353	0.4160236057
354	0.4158693576
355	0.4157600087
356	0.4156036282
357	0.4154932486
358	0.4152367281
359	0.4150567519
360	0.4149000726
361	0.4147564067
362	0.4146630408
363	0.4145006249
364	0.4143265597
365	0.4142391985
366	0.4140919222
367	0.4139884926
368	0.4138820538
369	0.4136818538
370	0.4135070896
371	0.4134238651
372	0.413272804
373	0.4131117885
374	0.4129323692
375	0.4127850897
376	0.4126934051
377	0.412542759
378	0.412384958
379	0.4122176846
380	0.4120728325
381	0.411900357
382	0.4117183175
383	0.411553355
384	0.4114558411
385	0.4113164332
386	0.4112131472
387	0.4110097504
388	0.410766844
389	0.4106063188
390	0.410509148
391	0.4104178916
392	0.4102544401
393	0.4101521432
394	0.4099435608
395	0.4098096058
396	0.4096426483
397	0.4095390707
398	0.4094097333
399	0.409205272
400	0.4091145302
401	0.4089893438
402	0.4088237327
403	0.4086433658
404	0.408541034
405	0.4083693881
406	0.4082431698
407	0.4081452276
408	0.4079920381
409	0.4078983442
410	0.4077782502
411	0.4076723272
412	0.4075767762
413	0.4074356861
414	0.4072905529
415	0.407216493
416	0.4069441886
417	0.4067338267
418	0.4065421058
419	0.4063926244
420	0.4062870807
421	0.4062021266
422	0.4059872398
423	0.4058708276
424	0.4057661514
425	0.4055591241
426	0.4052275425
427	0.4051530398
428	0.4049393002
429	0.4048596422
430	0.4046944543
431	0.4045730567
432	0.4044502265
433	0.4043672436
434	0.4040943007
435	0.4039075381
436	0.4038039978
437	0.4036676601
438	0.4035767619
439	0.4034255952
440	0.4032604907
441	0.4030877262
442	0.4029716222
443	0.4028416018
444	0.4026301123
445	0.4025165421
446	0.4024066596
447	0.4023119725
448	0.4022074708
449	0.402109674
450	0.4019992176
451	0.4019047733
452	0.4017818307
453	0.4016225639
454	0.4014808602
455	0.4013328078
456	0.4012643621
457	0.4011958389
458	0.4010881205
459	0.4010043957
460	0.4008619201
461	0.4007591354
462	0.4006449148
463	0.400550222
464	0.4003575272
465	0.4001742398
466	0.4000784772
467	0.3999306401
468	0.3997726152
469	0.3996520988
470	0.3994845613
471	0.3994069777
472	0.3992955659
473	0.3992040347
474	0.3990883634
475	0.398990981
476	0.3988708095
477	0.3987300481
478	0.398644769
479	0.3985300787
480	0.3983533603
481	0.3982619504
482	0.3980764686
483	0.3979733592
484	0.3978761137
485	0.3977696675
486	0.3976227565
487	0.3975230245
488	0.397361086
489	0.397214433
490	0.3971347765
491	0.3969949862
492	0.3968567533
493	0.3966806669
494	0.3965759
495	0.3964330518
496	0.3963125521
497	0.3962022193
498	0.3961229608
499	0.3959815875
500	0.3958357159
501	0.3956503209
502	0.395561576
503	0.3953861972
504	0.3952828348
505	0.3951812205
506	0.3950057694
507	0.3949319376
508	0.3948120682
509	0.3947429356
510	0.3945970664
511	0.3943984112
512	0.3942923293
513	0.3942036439
514	0.3941180799
515	0.3940196975
516	0.3939271881
517	0.3938141957
518	0.3937083816
