iter	Passed	Remaining
0	11	11503
1	19	9784
2	28	9311
3	35	8950
4	44	8785
5	52	8641
6	60	8568
7	68	8474
8	76	8428
9	83	8304
10	91	8199
11	99	8156
12	106	8117
13	114	8089
14	123	8110
15	131	8110
16	139	8070
17	147	8027
18	154	7983
19	162	7965
20	169	7905
21	178	7942
22	186	7907
23	193	7875
24	201	7841
25	208	7813
26	215	7779
27	222	7739
28	230	7703
29	237	7668
30	244	7646
31	251	7621
32	258	7587
33	266	7562
34	273	7544
35	280	7516
36	287	7492
37	294	7462
38	302	7447
39	309	7436
40	317	7434
41	324	7404
42	331	7381
43	339	7368
44	346	7344
45	352	7318
46	359	7298
47	367	7283
48	374	7273
49	382	7261
50	389	7253
51	396	7234
52	405	7241
53	412	7221
54	419	7210
55	427	7207
56	435	7198
57	442	7181
58	450	7177
59	457	7172
60	465	7165
61	473	7160
62	480	7147
63	488	7148
64	496	7138
65	503	7125
66	510	7106
67	516	7082
68	523	7070
69	532	7068
70	539	7059
71	546	7048
72	554	7036
73	561	7031
74	570	7030
75	577	7025
76	585	7013
77	592	7004
78	599	6988
79	606	6975
80	613	6965
81	621	6955
82	628	6947
83	636	6939
84	643	6925
85	650	6916
86	658	6906
87	665	6896
88	673	6889
89	679	6873
90	686	6860
91	694	6850
92	701	6840
93	708	6830
94	716	6821
95	723	6810
96	730	6802
97	738	6796
98	746	6793
99	753	6783
100	760	6773
101	768	6763
102	775	6757
103	783	6750
104	790	6738
105	798	6732
106	806	6727
107	814	6724
108	821	6714
109	828	6704
110	835	6694
111	842	6683
112	850	6673
113	857	6663
114	864	6652
115	871	6641
116	878	6633
117	886	6625
118	894	6620
119	902	6614
120	909	6605
121	916	6596
122	923	6584
123	931	6578
124	938	6567
125	945	6557
126	952	6550
127	959	6539
128	966	6527
129	974	6521
130	981	6511
131	988	6502
132	996	6497
133	1004	6491
134	1011	6483
135	1019	6474
136	1026	6468
137	1034	6464
138	1042	6454
139	1049	6448
140	1057	6442
141	1065	6436
142	1073	6433
143	1080	6423
144	1088	6418
145	1095	6409
146	1103	6403
147	1111	6398
148	1120	6399
149	1128	6392
150	1135	6382
151	1143	6378
152	1151	6373
153	1158	6364
154	1166	6356
155	1173	6348
156	1180	6339
157	1188	6335
158	1197	6336
159	1206	6331
160	1213	6321
161	1220	6314
162	1227	6303
163	1235	6297
164	1242	6288
165	1250	6280
166	1258	6276
167	1265	6267
168	1273	6259
169	1280	6250
170	1288	6245
171	1295	6238
172	1303	6231
173	1311	6225
174	1319	6219
175	1326	6209
176	1334	6202
177	1341	6195
178	1349	6190
179	1357	6183
180	1364	6175
181	1373	6171
182	1380	6164
183	1388	6156
184	1395	6146
185	1402	6139
186	1409	6129
187	1417	6121
188	1425	6114
189	1432	6107
190	1440	6100
191	1447	6090
192	1454	6081
193	1461	6072
194	1468	6063
195	1476	6055
196	1483	6047
197	1490	6038
198	1498	6030
199	1505	6023
200	1513	6015
201	1520	6006
202	1528	6000
203	1535	5992
204	1543	5986
205	1551	5979
206	1558	5969
207	1565	5962
208	1573	5955
209	1581	5950
210	1588	5941
211	1596	5933
212	1604	5927
213	1612	5922
214	1619	5914
215	1627	5907
216	1634	5898
217	1642	5890
218	1648	5880
219	1656	5873
220	1663	5865
221	1672	5860
222	1679	5853
223	1687	5845
224	1695	5841
225	1703	5834
226	1710	5824
227	1717	5816
228	1725	5809
229	1733	5801
230	1740	5794
231	1747	5786
232	1755	5780
233	1763	5771
234	1770	5765
235	1778	5758
236	1786	5752
237	1793	5742
238	1801	5735
239	1809	5729
240	1816	5721
241	1824	5713
242	1831	5704
243	1838	5696
244	1846	5689
245	1853	5682
246	1861	5676
247	1869	5668
248	1876	5660
249	1883	5650
250	1890	5642
251	1898	5635
252	1906	5628
253	1913	5620
254	1920	5611
255	1928	5604
256	1936	5598
257	1944	5591
258	1952	5586
259	1960	5579
260	1967	5571
261	1975	5564
262	1982	5556
263	1991	5551
264	1999	5546
265	2007	5538
266	2014	5531
267	2022	5525
268	2030	5519
269	2038	5511
270	2047	5506
271	2054	5499
272	2062	5492
273	2069	5484
274	2078	5478
